Epoch,Loss (Total),Loss (Policy),Loss (Value),Loss (L2),Time [s]
1,5.798583030700684,4.247400760650635,1.3277993202209473,0.22338314354419708,1065.1375443935394
2,5.339781284332275,3.7375314235687256,1.378827452659607,0.22342245280742645,1996.8005788326266
3,4.929146766662598,3.5146715641021733,1.1909823417663574,0.22349286079406736,2746.3265461921687
4,4.620665550231934,3.313155174255371,1.0838806629180908,0.22362960875034327,3747.216567993164
5,4.226241111755371,3.076626300811768,0.9257941246032716,0.22382067143917084,4950.4215672016135
6,4.109835624694823,2.957484245300293,0.9283323287963868,0.22401884198188785,6187.8343868255615
7,4.0653581619262695,2.9042632579803467,0.9369322657585144,0.22416293621063232,7509.1215460300455
8,3.8324663639068617,2.6610934734344482,0.9472014904022216,0.2241715639829636,8692.623584747314
9,3.727799654006958,2.547771692276001,0.955786406993866,0.22424156963825226,10166.197551727297
10,3.4634063243865967,2.2907145023345947,0.9483394622802734,0.22435219585895536,11244.084573507307
11,3.262749195098877,2.075735569000244,0.9624935984611512,0.2245202660560608,12523.106567144394
12,3.163225650787353,1.959581732749939,0.9789027571678162,0.22474098205566406,13433.330547094343
13,2.99113130569458,1.7906619310379028,0.9754794239997864,0.2249899059534073,14318.782550334932
14,2.9372143745422363,1.747831106185913,0.964141309261322,0.2252418547868729,15627.859550952913
15,2.8147287368774414,1.618419885635376,0.9707919359207152,0.2255169898271561,17021.764549016953
16,2.7001209259033203,1.5049740076065063,0.9693351984024048,0.2258119583129883,18103.365532875057
17,2.536578416824341,1.3410418033599854,0.9694315791130066,0.2261050194501877,19010.391568660736
18,2.3348634243011475,1.1284061670303345,0.9800329208374025,0.2264244109392166,19846.837548732758
19,2.4338572025299072,1.232315182685852,0.9747696518898008,0.2267723083496093,20979.447533130646
20,2.336275577545166,1.138121485710144,0.9710204005241394,0.2271339148283005,21911.388603448868
21,2.250521659851074,1.0472530126571655,0.9757928848266602,0.2274758815765381,23127.811599254608
22,2.146026372909546,0.9701855778694152,0.9480253458023072,0.22781531512737274,24224.249576091766
23,2.0723650455474854,0.8947888612747192,0.949417769908905,0.22815828025341034,25440.13354969025
24,1.974908232688904,0.7927883863449097,0.9536281228065492,0.22849182784557345,26428.44453144073
25,1.9679226875305176,0.8121346235275269,0.9269665479660034,0.2288215458393097,27822.490603446957
26,2.2806670665740967,1.1398119926452637,0.9115758538246156,0.2292791455984116,29140.49556708337
27,2.1810903549194336,1.033879041671753,0.917256236076355,0.2299552410840988,30453.844572544098
28,1.999780774116516,0.8502402305603027,0.919002652168274,0.23053798079490664,31617.53453683853
29,1.92255973815918,0.777038037776947,0.9145195484161376,0.2310020923614502,32982.00854945183
30,1.9141477346420288,0.7583491802215576,0.924403190612793,0.2313952445983887,34294.552553653724
31,1.8328903913497925,0.7120744585990906,0.8890575766563416,0.2317584604024887,35678.099531173706
32,1.7307944297790527,0.6069431304931641,0.8917548656463623,0.2320965677499771,36683.1845805645
33,1.6445839405059814,0.5296528935432434,0.8825324177742004,0.2323987185955048,37843.504533052444
34,1.6292846202850342,0.5144215822219849,0.8821816444396973,0.23268139362335205,38889.94857144357
35,1.6158844232559204,0.4907713532447815,0.8921657800674438,0.23294731974601746,40120.1645321846
36,1.5408282279968262,0.40911704301834106,0.8985174298286438,0.2331938296556473,41036.350533008575
37,1.5991828441619873,0.4743132293224335,0.8914335370063782,0.2334362119436264,42394.588571310036
38,1.5846294164657593,0.4583589732646942,0.8925739526748657,0.2336964756250381,43691.424545288086
39,1.5362850427627563,0.4062235653400421,0.8961084485054016,0.23395299911499026,44678.293572187424
40,1.4736309051513672,0.3550070524215698,0.8844451904296875,0.23417873680591586,45952.184568882
41,1.5198222398757937,0.4128494560718536,0.8726021647453308,0.2343706637620926,47356.23956370354
42,1.470712661743164,0.3606349229812622,0.87550288438797,0.2345747351646424,48429.69553089142
43,1.4480500221252441,0.3285633623600006,0.8847014307975769,0.23478513956069946,49921.11611175537
44,1.4684327840805054,0.3506262004375458,0.8827911615371704,0.2350154668092728,50963.5031208992
45,1.453861117362976,0.3315030932426453,0.8870885372161865,0.23526957631111145,52374.63183665276
46,1.439631104469299,0.342387318611145,0.8617658019065857,0.23547786474227905,53855.35833692551
47,1.4051920175552368,0.3061366379261017,0.863398015499115,0.2356573343276977,55081.225549459465
48,1.4063681364059448,0.3028930127620697,0.8676409721374512,0.235834077000618,56066.901798963554
49,1.3892916440963743,0.2944128811359405,0.8588501811027527,0.23602822422981265,57491.57772636414
50,1.3847155570983891,0.2843368947505951,0.8641800284385681,0.23619872331619265,58752.02269744872
51,1.4407966136932373,0.3492427170276642,0.8551234006881714,0.23643036186695104,59792.90221238138
52,1.4142882823944092,0.3325788378715515,0.8449056148529053,0.2368039190769196,60868.392735958085
53,1.3879940509796145,0.3037046492099762,0.8471589684486389,0.2371305376291275,62129.241371393204
54,1.3501198291778564,0.2633953094482422,0.8493835926055908,0.23734089732170105,63166.70783281326
55,1.3507283926010132,0.255809485912323,0.8574517965316772,0.2374671995639801,64003.94463944434
56,1.3643336296081543,0.2720048129558563,0.8547927141189575,0.2375360727310181,65187.19254589081
57,1.3586570024490356,0.2647635340690613,0.8563127517700195,0.2375806123018265,66414.51406311989
58,1.5347442626953125,0.42667293548583984,0.8701661229133606,0.2379053682088852,67816.42279076576
59,1.4983887672424316,0.3939735889434815,0.8657932281494141,0.23862187564373016,69090.56240987778
60,1.4369782209396362,0.33365875482559204,0.86412113904953,0.23919826745986936,70313.5000975132
61,1.3795523643493652,0.27160465717315674,0.8683803677558899,0.2395673394203186,71337.098736763
62,1.3936362266540527,0.2885934114456177,0.8652434349060059,0.2397996038198471,72600.73273730278
63,1.359716534614563,0.25685253739356995,0.8628542423248291,0.24000954627990725,73929.91553783418
64,1.3603200912475586,0.25516411662101746,0.8650553226470947,0.24010069668293,75160.17083907127
65,1.3148446083068848,0.2094833701848984,0.8652591705322266,0.24010206758975985,75952.37977075577
