Epoch,Time [s]
0,0.0
1,72.27299928665161
2,138.14001417160034
3,199.1810154914856
4,259.66601729393005
5,327.5920407772064
6,387.41701769828796
7,450.5620186328888
8,511.4949998855591
9,572.7840003967285
10,635.4690160751343
11,698.1759972572327
12,757.4549992084503
13,821.710000038147
14,893.9299998283386
15,969.5639998912811
16,1044.441002368927
17,1116.6500177383423
18,1187.4935448169708
19,1262.7289862632751
20,1341.5189971923828
21,1425.5525386333466
22,1503.4651868343353
23,1590.5632338523865
24,1676.5811667442322
25,1765.7624955177307
26,1851.895075559616
27,1945.7987008094788
28,2046.6457448005676
29,2142.268537759781
30,2241.172830581665
31,2337.7985055446625
32,2426.7295229434967
33,2519.064523935318
34,2613.5335454940796
35,2715.383208990097
36,2829.217227935791
37,2934.3800613880157
38,3043.5427103042603
39,3154.839875936508
40,3257.6658325195312
41,3379.5684311389923
42,3503.3536462783813
43,3621.058568954468
44,3743.0816144943237
45,3868.017900943756
46,3999.2244601249695
47,4128.5325565338135
48,4261.839554786682
49,4382.763540029526
50,4516.117537975311
51,4648.430559635162
52,4785.382557630539
53,4907.312158346176
54,5045.749165534973
55,5195.153180599213
56,5339.73034620285
57,5493.028889417648
58,5647.504493713379
59,5808.555553197861
60,5956.994537115097
61,6107.359542131424
62,6267.291037797928
63,6419.206038475037
64,6571.368017911911
65,6727.427065849304
66,6889.799019575119
67,7047.72603559494
68,7203.879038095474
69,7380.126047849655
70,7546.258075237274
71,7706.950160741806
72,7903.671402931213
73,8082.887171030045
74,8271.139258384705
75,8451.120520353317
76,8629.497210741043
77,8818.991170406342
78,8996.81618976593
79,9179.839173555374
80,9352.29817032814
81,9538.739203453064
82,9714.662177801132
83,9905.321187973022
84,10111.69310760498
85,10333.35635638237
86,10550.180634737015
87,10757.965619802475
88,10977.195029497147
89,11213.29193162918
90,11433.199367761612
91,11657.949041366577
92,11863.686443328857
93,12097.958096265793
94,12326.635815143585
95,12524.169418334961
96,12764.135828495026
97,12996.863249540329
98,13241.249141216278
99,13463.680181980133
100,13690.484433412552
101,13921.617099761963
102,14133.620905399323
103,14364.807922363281
104,14600.843921422958
105,14824.246906757355
